artist,date,genre,style,title,filename,Gender
Victor Brauner,1944,portrait,Surrealism,Head,3249.jpg,0
Iosif Iser,1935.0,portrait,Expressionism,Woman from Muscel,32502.jpg,0
Valentin Serov,1906.0,portrait,Realism,Portrait of Prince Vladimir Mikhailovich Golitsyn,32525.jpg,0
Suzanne Valadon,1922,portrait,Post-Impressionism,Portrait of Monsieur Mori,32527.jpg,1
Mikhail Nesterov,1925,portrait,Symbolism,Portrait of Victor Vasnetsov,32546.jpg,0
William Merritt Chase,1905,portrait,Impressionism,Ms. Helen Dixon,32550.jpg,0
Amedeo Modigliani,1916,portrait,Expressionism,Paul Guillaume,32565.jpg,0
Amedeo Modigliani,1918,portrait,Expressionism,Sitting man on orange background,32567.jpg,0
Amedeo Modigliani,1915,portrait,Expressionism,Portrait of a Woman,32570.jpg,0
Theo van Rysselberghe,1918,portrait,Impressionism,Portrait of a Woman,32578.jpg,0
Salvador Dali,1947,portrait,Surrealism,Portrait of Picasso,3258.jpg,0
Maurice Denis,1902,portrait,Post-Impressionism,"Maternite, Anne Marie et Marthe a la Bague Ovale",32591.jpg,0
Rene Magritte,1921,portrait,Cubism,Portrait of Pierre Broodcoorens,32596.jpg,0
Valentin Serov,1911.0,portrait,Realism,Portrait of Vladimir Girshman ,32632.jpg,0
Filipp Malyavin,1904,portrait,Art Nouveau (Modern),A Peasant Women,32661.jpg,0
Henri Martin,1904,portrait,Divisionism,In the Garden,32700.jpg,0
Alice Neel,1970,portrait,Expressionism,"The Family (John Gruen, Jane Wilson and Julia)",32706.jpg,1
John French Sloan,1913,portrait,New Realism,The New Blue Dress,32734.jpg,0
Kuzma Petrov-Vodkin,1922,portrait,Symbolism,Portrait of Anna Akhmatova,328.jpg,0
Nicolae Tonitza,1933.0,portrait,Expressionism,Breton Woman,32826.jpg,0
Egon Schiele,1917,portrait,Expressionism,Portrait of the Artist's Wife,32841.jpg,0
Henri Matisse,1934,portrait,Expressionism,Blue Eyes,32898.jpg,0
Pyotr Konchalovsky,1909,portrait,Fauvism,"Portrait of Dmitry Petrovich Konchalovsky historian, brother of the artist",32939.jpg,0
Iosif Iser,1930.0,portrait,Expressionism,Baletistă,32948.jpg,0
Enrico Baj,1989.0,portrait,Surrealism,Regard multiple,32954.jpg,0
Boris Kustodiev,1907.0,portrait,Realism,Portrait of Irina Kustodiev with the dog Shumka,32987.jpg,0
Paul Jacoulet,1935.0,portrait,Ukiyo-e,Beaute Japonaise Moderne. Kobe,32990.jpg,0
Ethel Carrick,1906.0,portrait,Impressionism,Portrait of Rose Levy,33014.jpg,1
Alberto Magnelli,1917.0,portrait,Cubism,La Toilette,33050.jpg,0
Carlo Carra,1913.0,portrait,Futurism,Ritratto di Papini ,33052.jpg,0
John Singer Sargent,1903,portrait,Realism,Edward Robinson,33089.jpg,0
Hans Richter,1915.0,portrait,Expressionism,Portrait de Lou Märten,33092.jpg,0
Kuzma Petrov-Vodkin,1907,portrait,Post-Impressionism,Kadusha ,33096.jpg,0
Amedeo Modigliani,1915,portrait,Expressionism,Portrait of Chaim Soutine,33101.jpg,0
Anders Zorn,1911,portrait,Realism,Mona,3311.jpg,0
Marc Chagall,1907,portrait,Expressionism,Young Girl on a Sofa (Mariaska),33120.jpg,0
Henri Matisse,1937,portrait,Expressionism,Small Odalisque in Purple Robe,33126.jpg,0
Max Liebermann,1932,portrait,Impressionism,Portrait of Otto Braun,33143.jpg,0
Lilla Cabot Perry,1921.0,portrait,Impressionism,The Story Hour ,3319.jpg,1
Edwin Dickinson,1947.0,portrait,Neo-Romanticism,SANDRA ,33210.jpg,0
Lilla Cabot Perry,1907.0,portrait,Impressionism,The Poacher (also known as The Hunter),33223.jpg,1
M.F. Husain,1990.0,portrait,Cubism,Untitled,33228.jpg,0
Alice Neel,1967,portrait,Expressionism,Harold and Nina Krieger,33250.jpg,1
Nicolae Tonitza,1924.0,portrait,Expressionism,Child in Rose,33260.jpg,0
Konstantin Yuon,1930,portrait,Realism,Artyom Vesely,33269.jpg,0
Paul Klee,1940,portrait,Expressionism,Captive,3327.jpg,0
Robert Henri,1915.0,portrait,American Realism,Lily Cow and the Queen ,33271.jpg,0
Raphael Delorme,1940.0,portrait,Art Deco,Untitled,3328.jpg,0
Rudolf Schweitzer-Cumpana,1940.0,portrait,Impressionism,Moş Gheorghe,33288.jpg,0
Boris Grigoriev,1924.0,portrait,Expressionism,Salome Andronnikova,33297.jpg,0
Marjorie Strider,2010.0,portrait,,Invitation,33312.jpg,1
Filipp Malyavin,1924,portrait,Art Nouveau (Modern),Portrait of Alexandra Balashova,3332.jpg,0
Umberto Boccioni,1909,portrait,Divisionism,The Mother ,33359.jpg,0
Amedeo Modigliani,1918,portrait,Expressionism,Burgundian Woman,33439.jpg,0
Istvan Ilosvai Varga,1938,portrait,Expressionism,Poor Man,33473.jpg,0
Carl Larsson,1901,portrait,Art Nouveau (Modern),"Brita as Iduna (Iðunn), lithography, title page for the christmas edition of Idun, 1901",33501.jpg,0
Kuzma Petrov-Vodkin,1904,portrait,Post-Impressionism,Epitaph ,33589.jpg,0
Oleksandr Bogomazov,1913,portrait,Post-Impressionism,Portrait of wife,33597.jpg,0
Amedeo Modigliani,1917,portrait,Expressionism,A girl in yellow dress,33617.jpg,0
Tsuguharu Foujita,1927.0,portrait,Magic Realism,Portrait of a Woman,33634.jpg,0
Bertalan Por,1909.0,portrait,Post-Impressionism,The Family,33648.jpg,0
M.F. Husain,1957.0,portrait,Cubism,Untitled (Portrait of Chand Bibi),33662.jpg,0
Amedeo Modigliani,1917,portrait,Expressionism,Portrait of Chaim Soutine,33676.jpg,0
Lesser Ury,1905.0,portrait,Impressionism,Abraham Geiger,33715.jpg,0
Fernand Leger,1916.0,portrait,Tubism,Soldier with a pipe,33737.jpg,0
Fernand Leger,1953.0,portrait,Naïve Art (Primitivism),The large one parades on red bottom,33742.jpg,0
Andy Warhol,1980,portrait,Pop Art,Albert Einstein,33744.jpg,0
Amedeo Modigliani,1915,portrait,Expressionism,"Madame Othon Friesz, La Marseillaise",33748.jpg,0
Robert Henri,1906.0,portrait,American Realism,Gypsy with Cigarette ,33768.jpg,0
Paul Jacoulet,1940.0,portrait,Ukiyo-e,Les Jades. Chinoise,33786.jpg,0
Niko Pirosmani,1906,portrait,Naïve Art (Primitivism),Fisherman among Rocks,33794.jpg,0
Milton Avery,1950,portrait,Fauvism,Two Women,33806.jpg,0
Elaine de Kooning,1959,portrait,Expressionism,Portrait of Jack Greenbaum,33814.jpg,1
Lasar Segall,1922.0,portrait,Naïve Art (Primitivism),Família,33857.jpg,0
George Henry,1916.0,portrait,Impressionism,Felicity,33882.jpg,0
Frida Kahlo,1928.0,portrait,Naïve Art (Primitivism),Portrait of Cristina My Sister,33893.jpg,1
Pavel Filonov,1910,portrait,Analytical Realism,Heads,33901.jpg,0
Robert Henri,1917.0,portrait,American Realism,Little Indian,33913.jpg,0
Claudio Bravo,1965,portrait,Hyper-Realism,Portrait of María Luisa Velasco,33914.jpg,0
Zinaida Serebriakova,1910,portrait,Art Nouveau (Modern),Portrait of M. Benois ,33948.jpg,1
Martiros Saryan,1904,portrait,Expressionism,Mother of the artist,33950.jpg,0
Andy Warhol,1983,portrait,Pop Art,Ingrid Bergman With Hat,33977.jpg,0
Maurice de Vlaminck,1905,portrait,Fauvism,The Girl at Rat Mort,33988.jpg,0
Pyotr Konchalovsky,1919,portrait,Expressionism,Portrait of the historian Nikolai Alexandrovich Geynike,33996.jpg,0
Viktor Vasnetsov,1926.0,portrait,Realism,Portrait of Mikhail Nesterov ,34.jpg,0
Konstantin Korovin,1910,portrait,Impressionism,Portrait of Nadezhda Komarovskaya ,34022.jpg,0
David Burliuk,1929,portrait,Realism,Male Portrait,34024.jpg,0
William Merritt Chase,1912,portrait,Impressionism,A Coquette,34033.jpg,0
William Merritt Chase,1902,portrait,Impressionism,Dorothy,34037.jpg,0
Egon Schiele,1910,portrait,Art Nouveau (Modern),Portrait of Madame Dr. Horak,34044.jpg,0
Pierre-Auguste Renoir,1913,portrait,Impressionism,Young Girl Wearing a Red Hat,34054.jpg,0
Guy Rose,1911,portrait,Impressionism,The Green Parasol,34067.jpg,0
Lucian Freud,1946,portrait,Surrealism,Portrait of a Man,34093.jpg,0
Vladimir Makovsky,1913,portrait,Realism,Portrait of I. E. Tsvetkov,34108.jpg,0
Cuno Amiet,1910.0,portrait,Post-Impressionism,Junge Frau Im Garten (Amy Moser),34122.jpg,0
Octav Bancila,1920.0,portrait,Realism,The Yellow Headscarf,34130.jpg,0
David Burliuk,1910,portrait,Futurism,Woman with neckerchief,34135.jpg,0
John Singer Sargent,1902,portrait,Realism,Antonio Mancini,34152.jpg,0
Amedeo Modigliani,1918,portrait,Expressionism,Young Girl in Beret,34155.jpg,0
Marevna (Marie Vorobieff),1948.0,portrait,Cubism,Peasant Woman with chicken,34199.jpg,1
Fernand Leger,1951.0,portrait,Naïve Art (Primitivism),Composition with two sailors,34214.jpg,0
Thomas Eakins,1901,portrait,Realism,Portrait of Leslie W. Miller,34228.jpg,0
Robert Henri,1928.0,portrait,American Realism,Portrait of Katie McNamara,34246.jpg,0
Boris Kustodiev,1922.0,portrait,Realism,Portrait of K.B. Kustodiev,34308.jpg,0
Kazimir Malevich,1932,portrait,Suprematism,Three Girls,3435.jpg,0
Lucian Freud,1989,portrait,Expressionism,Man in a String Chair,34374.jpg,0
Valentin Serov,1907.0,portrait,Art Nouveau (Modern),Portrait of Henrietta Girshman,34382.jpg,0
Lucian Freud,1945,portrait,Surrealism,Woman with a Daffodil,34393.jpg,0
Leonor Fini,1938,portrait,Magic Realism,Portrait de Meret Oppenheim,34422.jpg,1
Boris Kustodiev,1913.0,portrait,Realism,Portrait of S. Somov,3444.jpg,0
Mikhail Nesterov,1907,portrait,Post-Impressionism,Portrait of Leo Tolstoy ,34441.jpg,0
Paula Modersohn-Becker,1907,portrait,Expressionism,Lee and his sister Hoetger,34460.jpg,1
Marie Laurencin,1923.0,portrait,Expressionism,Portrait of Baroness Gourgaud with Pink Coat,34466.jpg,1
Paul Jacoulet,1956.0,portrait,Ukiyo-e,"Hommages Aux Ancetres- Pretre. Shinto, Japon",34486.jpg,0
Yiannis Tsaroychis,1934,portrait,Expressionism,Version of a Portrait with Paper Flowers,34490.jpg,0
Leon Bakst,1912.0,portrait,Art Nouveau (Modern),Portrait of the Marchesa Casati,34545.jpg,0
Edouard Vuillard,1920,portrait,Intimism,Princess Bibesco (Marthe Lahovary),34546.jpg,0
Sir Lawrence Alma-Tadema,1909,portrait,Romanticism,Hopeful,34605.jpg,0
Kuzma Petrov-Vodkin,1912,portrait,Symbolism,Portrait of M.F.Petrova-Vodkina,3466.jpg,0
Alexandre Jacovleff,1932.0,portrait,Expressionism,A Girl from Capri ,34684.jpg,0
Sonia Delaunay,1907,portrait,Fauvism,Philomene,34685.jpg,1
Paul Jacoulet,1950.0,portrait,Ukiyo-e,La Corbeille De Nefles. Chinois,34711.jpg,0
Istvan Farkas,1931,portrait,Expressionism,Portrait of Countess G. Z.,34713.jpg,0
Lilla Cabot Perry,1910.0,portrait,Impressionism,Mrs.Henry Lyman [Elizabeth Cabot Lyman] ,3472.jpg,1
Paul Klee,1924,portrait,Expressionism,Possessed girl ,34730.jpg,0
Salvador Dali,1945,portrait,Realism,Galarina,34741.jpg,0
Alice Neel,1964,portrait,Expressionism,Sherry Speeth,34746.jpg,1
Boris Kustodiev,1905.0,portrait,Impressionism,Family portrait of Polenovs (Family Portrait),34763.jpg,0
Oskar Kokoschka,1948,portrait,Expressionism,Cardinal della Costa,3480.jpg,0
Augustus John,1912.0,portrait,Post-Impressionism,Woman in a Landscape,34832.jpg,0
George Washington Lambert,1924.0,portrait,Post-Impressionism,Portrait of Charles E.W. Bean ,34837.jpg,0
Robert Henri,1913.0,portrait,American Realism,Sis,34847.jpg,0
Felix Vallotton ,1902,portrait,Post-Impressionism,Portrait of workshop with figure (my wife),34873.jpg,0
Cuno Amiet,1904.0,portrait,Japonism,Sunspots,34876.jpg,0
Boris Kustodiev,1915.0,portrait,Art Nouveau (Modern),Tsar Nicholas II,34914.jpg,0
Konstantin Somov,1921,portrait,Realism,Portrait of N. Dobychina,34948.jpg,0
Victor Brauner,1927,portrait,Surrealism,Portrait of Claude Sernet,34978.jpg,0
Arshile Gorky,1935,portrait,Post-Impressionism,Leonora Portnoff,34983.jpg,0
Yves Klein,1962,portrait,Nouveau Réalisme,Portrait Relief PR3 (Portrait of Claude Pascal),350.jpg,0
Martin Disler,1984,portrait,Neo-Expressionism,Komposition,35017.jpg,0
Tamara de Lempicka,1932,portrait,Art Deco,Portrait of Marjorie Ferry,35032.jpg,1
Augustus John,1916.0,portrait,Post-Impressionism,The Orange Jacket,35055.jpg,0
Arthur Beecher Carles,1912,portrait,Post-Impressionism,Portrait of Katharine Rhoades,35080.jpg,0
Gino Severini,1937,portrait,Neoclassicism,La Marchesa Maria De Seta,35083.jpg,0
Henri Matisse,1917,portrait,Post-Impressionism,Lorette with Turban and Yellow Vest,35094.jpg,0
Konstantin Makovsky,1907,portrait,Romanticism,In from a Stroll,35136.jpg,0
John Bratby,1967.0,portrait,Expressionism,"Elspet Jeans, née MacGregor-Gray, Lady Rix; Brian Norman Roger Rix, Baron Rix ",35141.jpg,0
Robert Henri,1917.0,portrait,American Realism,The Goat Herder (also known as Mexican Boy),3515.jpg,0
Thomas Eakins,1908,portrait,Realism,Portrait of Miss Helen Parker,35154.jpg,0
Paul Wonner,1964.0,portrait,Neo-Expressionism,Model Drinking Coffee,35166.jpg,0
Pyotr Konchalovsky,1949,portrait,Post-Impressionism,Margot is dancing,35222.jpg,0
Richard Lindner,1970.0,portrait,Mechanistic Cubism,Woman,35232.jpg,0
Ilya Repin,1906.0,portrait,Realism,Portrait of writer  Yevgeny Nikolayevich Chirikov,35254.jpg,0
Henri Matisse,1914,portrait,Cubism,Madame Yvonne Landsberg,35271.jpg,0
Paul Jacoulet,1953.0,portrait,Ukiyo-e,Decembre. Japon,35286.jpg,0
Amedeo Modigliani,1916,portrait,Expressionism,Portrait of Diego Rivera ,35290.jpg,0
Konstantin Yuon,1924,portrait,Post-Impressionism,"Portrait of K.A. Yuon, artist's wife",35314.jpg,0
M.C. Escher,1929,portrait,Realism,Infant Arthur,35329.jpg,0
Henry Herbert La Thangue,1903.0,portrait,Realism,John Maddocks,35331.jpg,0
Theo van Rysselberghe,1907,portrait,Post-Impressionism,The Woman in White (Portrait of Madame Helene Keller),35333.jpg,0
John French Sloan,1904,portrait,New Realism,Boy with Piccolo,35342.jpg,0
Zinaida Serebriakova,1922,portrait,Art Nouveau (Modern),Portrait of Marietta Frangopulo ,35343.jpg,1
Robert Henri,1913.0,portrait,American Realism,Old Johnnie's Wife ,35355.jpg,0
Jean Dupas,1932.0,portrait,Art Deco,Woman Seated in Front of Portrait,35392.jpg,0
Nicholas Roerich,1920,portrait,Symbolism,Allal-Ming,35408.jpg,0
Robert Henri,1926.0,portrait,American Realism,Pegeen,35409.jpg,0
Jury Annenkov,1921,portrait,Expressionism,Abram Efros,35425.jpg,0
Vajda Lajos,1938.0,portrait,Surrealism,Monster's Head ,35488.jpg,0
Ivan Albright,1927.0,portrait,Magic Realism,I Drew A Picture in the Sand and the Water Washed It Away,3550.jpg,0
Zinaida Serebriakova,1941,portrait,Expressionism,Portrait of Mrs Beilitz,35534.jpg,1
Konstantin Yuon,1950,portrait,Realism,Pushkin,35542.jpg,0
Jean Metzinger,1923.0,portrait,Neoclassicism,Jeune Femme Pensive aux Roses Rouges ,35553.jpg,0
Enrique Grau,2011.0,portrait,Neo-Figurative Art,Mujer,35559.jpg,0
Amedeo Modigliani,1917,portrait,Expressionism,Jacques and Berthe Lipchitz,35564.jpg,0
Ilya Repin,1902.0,portrait,Realism,Portrait of V. K. Pleve,35576.jpg,0
Fernand Leger,1945.0,portrait,Naïve Art (Primitivism),Study for a Portrait ,3560.jpg,0
William James Glackens,1915,portrait,Impressionism,Standing girl with white spats,35603.jpg,0
Candido Portinari,1921.0,portrait,Post-Impressionism,Meu Primeiro Trabalho,35609.jpg,0
Kazimir Malevich,1933,portrait,Realism,Portrait of V.A.Pavlov,35634.jpg,0
Pierre Daura,1950.0,portrait,Expressionism,The Couple,35671.jpg,0
Pierre-Auguste Renoir,1909,portrait,Impressionism,Young Girl in Blue (Head of a Blond Woman),3568.jpg,0
Ilya Repin,1910.0,portrait,Realism,Portrait of N.V. Delyarov,35716.jpg,0
Egon Schiele,1917,portrait,Expressionism,"Portrait of the Artist's Wife Seated, Holding Her Right Leg",35769.jpg,0
Zinaida Serebriakova,1928,portrait,Expressionism,Water carrier. Morocco ,35795.jpg,1
Lucian Freud,1998,portrait,Expressionism,Man in Silver Suit,35819.jpg,0
Ilya Mashkov,1904,portrait,Impressionism,Portrait of a Girl,35827.jpg,0
Andy Warhol,1964,portrait,Pop Art,Liz Taylor ,35834.jpg,0
Florine Stettheimer,1923.0,portrait,Naïve Art (Primitivism),"Portrait of My Sister, Carrie W. Stettheimer",35838.jpg,1
Ernst Ludwig Kirchner,1907,portrait,Expressionism,Seated Lady (Dodo),3585.jpg,0
Peder Severin Kroyer,1902.0,portrait,Realism,Georg Brandes,35851.jpg,0
Egon Schiele,1910,portrait,Expressionism,Seated Girl,35880.jpg,0
George Henry,1925.0,portrait,Realism,"Sir Humphry Davy Rolleston, Seated, Holding a Mace",35888.jpg,0
Wifredo Lam,1944,portrait,Cubism,The Fiance ,35898.jpg,0
Prudence Heward,1945,portrait,Expressionism,Sarah Eliot,35910.jpg,1
Yiannis Tsaroychis,1962,portrait,Expressionism,Sailor,35920.jpg,0
Tamara de Lempicka,1929,portrait,Art Deco,Portrait Of Dr. Boucard,35921.jpg,1
Konstantin Somov,1903,portrait,Symbolism,Lady in Pink,3593.jpg,0
Raja Ravi Varma,1904.0,portrait,Academicism,The Milkmaid ,35933.jpg,0
Anders Zorn,1918,portrait,Realism,Ols Maria,35944.jpg,0
Zinaida Serebriakova,1923,portrait,Expressionism,Portrait of N. Geydenreyh in Blue ,35977.jpg,1
Kazimir Malevich,1932,portrait,Suprematism,Woman Torso,36008.jpg,0
John William Godward,1903,portrait,Neoclassicism,The Rendezvous,3601.jpg,0
Paula Modersohn-Becker,1902,portrait,Expressionism,Young Girl With Straw Hat And A Flower In Her Hand,36011.jpg,1
Yiannis Tsaroychis,1962,portrait,Expressionism,Sailor without shoes sitting on couch ,36034.jpg,0
Oswaldo Guayasamin,1961.0,portrait,Expressionism,Portrait of Fidel Castro,36067.jpg,0
Andrei Ryabushkin,1902,portrait,Romanticism,Presented with the Tzar's Own Fur lined Robe,36081.jpg,0
Moise Kisling,1930,portrait,Post-Impressionism,Children of Dr. Tas,361.jpg,0
Remedios Varo,1926.0,portrait,Expressionism,Portrait of Grandmother Doña Josefa Zejalvo,36110.jpg,1
Amedeo Modigliani,1919,portrait,Expressionism,Red-haired young man,36122.jpg,0
Avigdor Arikha,1979.0,portrait,Expressionism,Anne in Shawl and Dark Glasses,3618.jpg,0
Pablo Picasso,1923,portrait,Neoclassicism,Seated woman,36198.jpg,0
Robert Henri,1917.0,portrait,American Realism,Florencia ,36217.jpg,0
Amedeo Modigliani,1915,portrait,Expressionism,Portrait of Raymond,36223.jpg,0
Georges Valmier,1924.0,portrait,Cubism,Girl Reading,3623.jpg,0
Egon Schiele,1910,portrait,Expressionism,Seated Young Girl,36266.jpg,0
Jean Metzinger,1912.0,portrait,Cubism,Portrait of Albert Gleizes ,36283.jpg,0
Pyotr Konchalovsky,1936,portrait,Expressionism,The head of boy in profile,36296.jpg,0
Gustav Klimt,1906,portrait,Art Nouveau (Modern),Portrait of Fritza Riedler,36297.jpg,0
Gustav Klimt,1916,portrait,Art Nouveau (Modern),Portrait of Baroness Elisabeth Bachofen-Echt,36311.jpg,0
Martiros Saryan,1912,portrait,Expressionism,Portrait of critic Garegin Levonian,36327.jpg,0
Oswaldo Guayasamin,1983.0,portrait,Expressionism,The Cry ,36367.jpg,0
Lucian Freud,1990,portrait,Expressionism,Portrait of Ib,36388.jpg,0
Henri Matisse,1912,portrait,Orientalism,Zorah on the Terrace,36400.jpg,0
Tsuguharu Foujita,1924.0,portrait,Magic Realism,Profil de femme,36409.jpg,0
Amedeo Modigliani,1919,portrait,Expressionism,Little Serving Woman,36425.jpg,0
Christian Schad,1920.0,portrait,Magic Realism,Unknown ,36438.jpg,0
Kuzma Petrov-Vodkin,1929,portrait,Symbolism,Portrait S.D. Mstislavsky,36450.jpg,0
Pyotr Konchalovsky,1909,portrait,Post-Impressionism,Pasha on flowers,36491.jpg,0
Pablo Picasso,1910,portrait,Analytical Cubism,Portrait of Daniel-Henry Kahnweiler,3650.jpg,0
George Segal,1978.0,portrait,Expressionism,Helen in Wicker Rocker,36500.jpg,0
Robert Henri,1906.0,portrait,American Realism,Modiste of Madrid (also known as Spanish Girl of Madrid),36526.jpg,0
Max Ernst,1921,portrait,Surrealism,Chimera,36535.jpg,0
Moise Kisling,1931,portrait,Post-Impressionism,Young Breton,36558.jpg,0
Amedeo Modigliani,1915,portrait,Expressionism,Young Woman in a Small Ruff,36594.jpg,0
Fernand Leger,1939.0,portrait,Purism,Composition with the two parrots,36638.jpg,0
Zinaida Serebriakova,1927,portrait,Expressionism,Portrait of a Man ,36657.jpg,1
Robert Henri,1912.0,portrait,American Realism,La Mora ,36667.jpg,0
Ilya Repin,1912.0,portrait,Realism,Portrait of the Author Vladimir Korolemko,3669.jpg,0
Enrique Grau,1959.0,portrait,Neo-Figurative Art,Untitled,36699.jpg,0
Jury Annenkov,1926,portrait,Expressionism,Portrait of Zinoviev,36703.jpg,0
Salvador Dali,1926,portrait,Expressionism,"Ana Maria, Sewing",3671.jpg,0
Arturo Souto,1952.0,portrait,Post-Impressionism,Portrait of Vera Mayer,36712.jpg,0
John Singer Sargent,1902,portrait,Realism,Peter A. B. Widener,36771.jpg,0
Konstantin Somov,1934,portrait,Symbolism,Portrait of Alexandra Levchenko,36774.jpg,0
Amedeo Modigliani,1918,portrait,Expressionism,Two girls,36781.jpg,0
Oskar Kokoschka,1914,portrait,Expressionism,Portrait of the Composer Anton von Webern,36784.jpg,0
Lucian Freud,1962,portrait,Expressionism,Sleeping Head,36803.jpg,0
Viktor Vasnetsov,1901.0,portrait,Symbolism,M.I. Ryazantseva ,36804.jpg,0
Boris Kustodiev,1909.0,portrait,Realism,Portrait of R.I. Notgaft,36813.jpg,0
Zinaida Serebriakova,1961,portrait,Expressionism,Portrait of S.M. Lifar ,36847.jpg,1
Valentin Serov,1908.0,portrait,Art Nouveau (Modern),Portrait of Maria Akimova,36859.jpg,0
George Stefanescu-Ramnic ,1964,portrait,Post-Impressionism,Woman from Bitola,36907.jpg,0
Valentin Serov,1908.0,portrait,Impressionism,Portrait of Yevdokia Morozova,3692.jpg,0
Martiros Saryan,1913,portrait,Expressionism,Woman with mask (S. I. Dymshits),36921.jpg,0
Varlin,1968.0,portrait,Expressionism,Professor Corbetta,36943.jpg,0
Lovis Corinth,1920.0,portrait,Impressionism,Flowers and Wilhelmine,36952.jpg,0
Ilya Repin,1901.0,portrait,Realism,Portrait of member of State Council Grand Prince Mikhail Aleksandrovich Romanov. Study.,36991.jpg,0
Alice Neel,1970,portrait,Expressionism,Andy Warhol,36994.jpg,1
Amedeo Modigliani,1918,portrait,Expressionism,Jeanne Hebuterne,37006.jpg,0
Henri Rousseau,1905,portrait,Naïve Art (Primitivism),Portrait of A Woman,37023.jpg,0
Antonio Donghi,1931.0,portrait,Magic Realism,Donna al caffè,3705.jpg,0
Lesser Ury,1908.0,portrait,Impressionism,Lady in black evening dress with green scarf,37089.jpg,0
Jozsef Rippl-Ronai,1915.0,portrait,Symbolism,Woman in ink Dress and Black Collar ,37111.jpg,0
Max Beckmann,1924,portrait,Verism,Portrait of Minna Beckmann-Tube,37139.jpg,0
Emiliano Di Cavalcanti,1954.0,portrait,Modernismo,Músicos,37205.jpg,0
Salvador Dali,1933,portrait,Surrealism,Portrait of Gala with Two Lamb Chops Balanced on Her Shoulder,37207.jpg,0
Kuzma Petrov-Vodkin,1917,portrait,Symbolism,Two ,37240.jpg,0
John Bratby,1960.0,portrait,Expressionism,"Ann, Thinking, with Flowers",37278.jpg,0
Spyros Papaloukas,1917.0,portrait,Post-Impressionism,Lady with hat,37309.jpg,0
Amedeo Modigliani,1915,portrait,Expressionism,Portrait of Beatrice Hastings before a door,37331.jpg,0
Boris Kustodiev,1910.0,portrait,Realism,Group portrait of painters of the World of Art,37346.jpg,0
Pablo Picasso,1906,portrait,Post-Impressionism,Portrait of Fernande Olivier in headscarves,37358.jpg,0
Albert Huie,1938.0,portrait,Post-Impressionism,The Counting Lesson,37388.jpg,0
John Bratby,1960.0,portrait,Expressionism,The Artist's Friends,37423.jpg,0
Amedeo Modigliani,1916,portrait,Expressionism,Margarita seated,37439.jpg,0
Lesser Ury,1920.0,portrait,Impressionism,Lady in the loge,37467.jpg,0
Joan Miro,1917,portrait,Fauvism,Portrait of V. Nubiola,37501.jpg,0
John William Godward,1914,portrait,Neoclassicism,Cassotis,37504.jpg,0
Goyo Hashiguchi,1920,portrait,Shin-hanga,Young Woman in Summer Kimono,37506.jpg,0
Lucian Freud,1985,portrait,Expressionism,Fred,37516.jpg,0
Egon Schiele,1914,portrait,Art Nouveau (Modern),Portrait of Friederike Maria Beer,37558.jpg,0
Vilho Lampi,1924,portrait,Expressionism,Tytöt ja ruusu,37560.jpg,0
Christian Schad,1927.0,portrait,Magic Realism,St. Genois d’Anneaucourt,37571.jpg,0
George Pemba,1975,portrait,Social Realism,Traditional Xhosa woman,37583.jpg,0
Diego Rivera,1946,portrait,Naïve Art (Primitivism),Portrait of Cuca Bustamante,37606.jpg,0
Alexander Boghossian,1961,portrait,Surrealism,Untitled (Head of a Woman),37608.jpg,0
Gustave Buchet,1929.0,portrait,Cubism,Nu et composition,37653.jpg,0
Boris Kustodiev,1907.0,portrait,Realism,Portrait of a priest and a deacon ,3766.jpg,0
Salvador Dali,1958,portrait,Surrealism,Portrait of Sir James Dunn,3768.jpg,0
Odilon Redon,1903,portrait,Symbolism,Woman with Pillar of Flowers,37701.jpg,0
Pierre Bonnard,1910,portrait,Post-Impressionism,Madame Claude Anet,37755.jpg,0
Amedeo Modigliani,1918,portrait,Expressionism,Woman with Blue Eyes,37792.jpg,0
Lilla Cabot Perry,1912.0,portrait,Impressionism,William Dean Howells ,3785.jpg,1
Juan Gris,1919,portrait,Cubism,Harlequin with Guitar,37873.jpg,0
Sandor Bortnyik,1924.0,portrait,Metaphysical art,The New Adam,37883.jpg,0
Alphonse Mucha,1909,portrait,Art Nouveau (Modern),Maude Adams as Joan of Arc,37889.jpg,0
Kees van Dongen,1905,portrait,Fauvism,Woman with Green Stockings,37932.jpg,0
Konstantin Somov,1907,portrait,Realism,Portrait of Eugine Lanceray,37934.jpg,0
Theo van Doesburg,1917,portrait,Cubism,Lena in interieur,37988.jpg,0
Albert Gleizes,1914.0,portrait,Analytical Cubism,Portrait of Igor Stravinsky,380.jpg,0
Aldo Mondino,1989.0,portrait,Pop Art,Byron,38005.jpg,0
Odilon Redon,1907,portrait,Symbolism,Portrait of Madame Gustave Fayet,38016.jpg,0
John William Godward,1913,portrait,Neoclassicism,Golden Hours,3802.jpg,0
Gandy Brodie,1955.0,portrait,Expressionism,Jocelyn,38099.jpg,0
Pauline Boty,1963.0,portrait,Pop Art,Celia Birtwell and Some of her Heroes ,38108.jpg,1
David Burliuk,1925,portrait,Futurism,Vladimir Mayakovsky,38131.jpg,0
Grant Wood,1929.0,portrait,Regionalism,Miss France ,38147.jpg,0
